facility_name,city,sector,department_name,date_iso,energy_type,scope,consumption_amount,co2_emission_tons
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Petrol,Scope 2,242.36,0.0709
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Petrol,Scope 2,242.36,0.0709
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Petrol,Scope 2,242.36,0.0709
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-01-02,Petrol,Scope 2,,0.3156
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-01-02,Petrol,Scope 2,,0.3156
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-01-02,Petrol,Scope 2,,0.3156
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-01-02,Petrol,Scope 2,,0.3156
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-01-02,Petrol,Scope 2,,0.3156
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-02-12,Petrol,Scope 1,1151.19,0.7535
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-02-12,Petrol,Scope 1,1151.19,0.7535
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-02-12,Petrol,Scope 1,1151.19,0.7535
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-02-12,Petrol,Scope 1,1151.19,0.7535
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-02-12,Petrol,Scope 1,1151.19,0.7535
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-03-08,Petrol,Scope 2,511.0,0.3034
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-03-08,Petrol,Scope 2,511.0,0.3034
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-03-08,Petrol,Scope 2,511.0,0.3034
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-03-08,Petrol,Scope 2,511.0,0.3034
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-03-08,Petrol,Scope 2,511.0,0.3034
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-03-31,Electricity,Scope 2,1000.64,0.5249
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-03-31,Electricity,Scope 2,1000.64,0.5249
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-03-31,Electricity,Scope 2,1000.64,0.5249
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-03-31,Electricity,Scope 2,1000.64,0.5249
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-03-31,Electricity,Scope 2,1000.64,0.5249
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-04-02,Diesel,Scope 2,2005.26,1.2563
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-04-02,Diesel,Scope 2,2005.26,1.2563
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-04-02,Diesel,Scope 2,2005.26,1.2563
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-04-02,Diesel,Scope 2,2005.26,1.2563
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-04-02,Diesel,Scope 2,2005.26,1.2563
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-04-04,Lpg,Scope 1,1356.71,0.8714
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-04-04,Lpg,Scope 1,1356.71,0.8714
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-04-04,Lpg,Scope 1,1356.71,0.8714
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-04-04,Lpg,Scope 1,1356.71,0.8714
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-04-04,Lpg,Scope 1,1356.71,0.8714
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-05-14,Electricity,,,1.0766
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-05-14,Electricity,,,1.0766
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-05-14,Electricity,,,1.0766
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-05-14,Electricity,,,1.0766
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-05-14,Electricity,,,1.0766
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-06-07,Diesel,Scope 2,2022.24,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-06-07,Diesel,Scope 2,2022.24,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-06-07,Diesel,Scope 2,2022.24,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-06-07,Diesel,Scope 2,2022.24,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-06-07,Diesel,Scope 2,2022.24,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-08-16,Natural Gas,Scope 2,1199.84,0.5727
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-08-16,Natural Gas,Scope 2,1199.84,0.5727
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-08-16,Natural Gas,Scope 2,1199.84,0.5727
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-08-16,Natural Gas,Scope 2,1199.84,0.5727
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-08-16,Natural Gas,Scope 2,1199.84,0.5727
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-08-21,Diesel,,418.18,0.1363
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-08-21,Diesel,,418.18,0.1363
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-08-21,Diesel,,418.18,0.1363
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-08-21,Diesel,,418.18,0.1363
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-08-21,Diesel,,418.18,0.1363
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-09-21,Natural Gas,Scope 1,-109.07,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-09-21,Natural Gas,Scope 1,-109.07,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-09-21,Natural Gas,Scope 1,-109.07,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-09-21,Natural Gas,Scope 1,-109.07,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-09-21,Natural Gas,Scope 1,-109.07,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-04,Electricity,Scope 2,-551.82,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-10-04,Electricity,Scope 2,-551.82,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-10-04,Electricity,Scope 2,-551.82,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-04,Electricity,Scope 2,-551.82,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-10-04,Electricity,Scope 2,-551.82,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-17,Electricity,Scope 1,997.08,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-10-17,Electricity,Scope 1,997.08,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-10-17,Electricity,Scope 1,997.08,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-17,Electricity,Scope 1,997.08,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-10-17,Electricity,Scope 1,997.08,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-21,Diesel,Scope 2,1075.74,0.6689
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-10-21,Diesel,Scope 2,1075.74,0.6689
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-10-21,Diesel,Scope 2,1075.74,0.6689
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-21,Diesel,Scope 2,1075.74,0.6689
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-10-21,Diesel,Scope 2,1075.74,0.6689
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-26,Diesel,,1187.96,0.5061
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-10-26,Diesel,,1187.96,0.5061
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-10-26,Diesel,,1187.96,0.5061
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-10-26,Diesel,,1187.96,0.5061
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-10-26,Diesel,,1187.96,0.5061
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-11-20,Diesel,Scope 2,848.06,0.6706
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-11-20,Diesel,Scope 2,848.06,0.6706
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-11-20,Diesel,Scope 2,848.06,0.6706
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-11-20,Diesel,Scope 2,848.06,0.6706
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-11-20,Diesel,Scope 2,848.06,0.6706
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-11-21,Electricity,Scope 1,1484.62,1.0492
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-11-21,Electricity,Scope 1,1484.62,1.0492
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-11-21,Electricity,Scope 1,1484.62,1.0492
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-11-21,Electricity,Scope 1,1484.62,1.0492
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-11-21,Electricity,Scope 1,1484.62,1.0492
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-11-25,Diesel,,818.51,0.5013
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2022-11-25,Diesel,,818.51,0.5013
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2022-11-25,Diesel,,818.51,0.5013
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2022-11-25,Diesel,,818.51,0.5013
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2022-11-25,Diesel,,818.51,0.5013
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-01-20,Electricity,Scope 1,658.64,0.2349
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-01-20,Electricity,Scope 1,658.64,0.2349
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-01-20,Electricity,Scope 1,658.64,0.2349
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-01-20,Electricity,Scope 1,658.64,0.2349
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-01-20,Electricity,Scope 1,658.64,0.2349
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-02-28,Diesel,Scope 1,1472.78,0.8477
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-02-28,Diesel,Scope 1,1472.78,0.8477
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-02-28,Diesel,Scope 1,1472.78,0.8477
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-02-28,Diesel,Scope 1,1472.78,0.8477
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-02-28,Diesel,Scope 1,1472.78,0.8477
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-03-02,Electricity,Scope 1,1031.18,0.4092
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-03-02,Electricity,Scope 1,1031.18,0.4092
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-03-02,Electricity,Scope 1,1031.18,0.4092
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-03-02,Electricity,Scope 1,1031.18,0.4092
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-03-02,Electricity,Scope 1,1031.18,0.4092
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-03-29,Electricity,,1022.76,0.3475
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-03-29,Electricity,,1022.76,0.3475
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-03-29,Electricity,,1022.76,0.3475
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-03-29,Electricity,,1022.76,0.3475
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-03-29,Electricity,,1022.76,0.3475
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-04-19,Natural Gas,,3914.34,1.6983
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-04-19,Natural Gas,,3914.34,1.6983
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-04-19,Natural Gas,,3914.34,1.6983
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-04-19,Natural Gas,,3914.34,1.6983
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-04-19,Natural Gas,,3914.34,1.6983
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-04-25,Lpg,Scope 2,600.82,0.2337
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-04-25,Lpg,Scope 2,600.82,0.2337
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-04-25,Lpg,Scope 2,600.82,0.2337
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-04-25,Lpg,Scope 2,600.82,0.2337
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-04-25,Lpg,Scope 2,600.82,0.2337
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-05-22,Electricity,Scope 1,1783.44,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-05-22,Electricity,Scope 1,1783.44,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-05-22,Electricity,Scope 1,1783.44,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-05-22,Electricity,Scope 1,1783.44,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-05-22,Electricity,Scope 1,1783.44,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-06-16,Diesel,Scope 2,2015.34,1.2064
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-06-16,Diesel,Scope 2,2015.34,1.2064
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-06-16,Diesel,Scope 2,2015.34,1.2064
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-06-16,Diesel,Scope 2,2015.34,1.2064
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-06-16,Diesel,Scope 2,2015.34,1.2064
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-06-27,Diesel,Scope 1,995.7,0.8439
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-06-27,Diesel,Scope 1,995.7,0.8439
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-06-27,Diesel,Scope 1,995.7,0.8439
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-06-27,Diesel,Scope 1,995.7,0.8439
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-06-27,Diesel,Scope 1,995.7,0.8439
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-09-04,Electricity,Scope 1,1082.79,0.704
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-09-04,Electricity,Scope 1,1082.79,0.704
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-09-04,Electricity,Scope 1,1082.79,0.704
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-09-04,Electricity,Scope 1,1082.79,0.704
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-09-04,Electricity,Scope 1,1082.79,0.704
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-09-08,Diesel,,2828.63,1.217
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-09-08,Diesel,,2828.63,1.217
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-09-08,Diesel,,2828.63,1.217
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-09-08,Diesel,,2828.63,1.217
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-09-08,Diesel,,2828.63,1.217
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-01,Electricity,,724.01,0.5821
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-10-01,Electricity,,724.01,0.5821
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-10-01,Electricity,,724.01,0.5821
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-01,Electricity,,724.01,0.5821
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-10-01,Electricity,,724.01,0.5821
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-01,Natural Gas,,1380.43,0.441
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-10-01,Natural Gas,,1380.43,0.441
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-10-01,Natural Gas,,1380.43,0.441
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-01,Natural Gas,,1380.43,0.441
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-10-01,Natural Gas,,1380.43,0.441
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-08,Lpg,Scope 2,730.68,0.24
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-10-08,Lpg,Scope 2,730.68,0.24
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-10-08,Lpg,Scope 2,730.68,0.24
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-08,Lpg,Scope 2,730.68,0.24
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-10-08,Lpg,Scope 2,730.68,0.24
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-10,Natural Gas,Scope 2,751.05,0.484
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-10-10,Natural Gas,Scope 2,751.05,0.484
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,2023-10-10,Natural Gas,Scope 2,751.05,0.484
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-10-10,Natural Gas,Scope 2,751.05,0.484
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,2023-10-10,Natural Gas,Scope 2,751.05,0.484
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,2023-11-02,Diesel,,2610.53,1.0948
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,2023-11-02,Diesel,,2610.53,1.0948
