record_id;facility_code;department_id;date;energy_type;scope;consumption_amount;unit;co2_emission_tons
23;FAC-001;DPT-0004;22.07.2023;DIESEL;Scope 2;276.73;M3;0.194
24;FAC-001;DPT-0002;11.10.2022;Natural Gas;;1031.4;kwh;0.4557
25;FAC-001;;28.02.2023;Diesel;Scope 1;1472.78;liter;0.8477
26;FAC-001;DPT-0003;8.05.2024;lpg;Scope 2;1013.15;LT;0.7721
27;FAC-001;DPT-0001;5.12.2022;electricity;Scope 1;822.28;liter;0.5356
28;FAC-001;DPT-0001;04-13-2022;Diesel;scope 2;712.69;m3;0.2362
29;FAC-001;DPT-0004;17.06.2022;Electricity;Scope 1;626.59;Liter;0.5143
30;FAC-001;;22.05.2023;Electricity;scope 1;1783.44;m3;
31;FAC-001;DPT-0005;26.01.2024;Petrol;SCOPE 1;1125.78;kwh;0.5956
32;FAC-001;DPT-0001;8.02.2024;lpg;Scope 2;666.44;KWH;0.3969
33;FAC-001;DPT-0002;5.09.2022;Electricity;scope 2;521.35;liter;0.372
34;FAC-001;;30.09.2024;Diesel;scope 2;1359.98;LT;0.3503
35;FAC-001;DPT-0005;17.09.2024;Diesel;SCOPE 2;1756.47;Liter;0.7238
36;FAC-001;DPT-0001;02-16-2024;Electricity;;1656.01;Liter;0.8619
37;FAC-001;DPT-0003;20.07.2023;Electricity;Scope 2;450.63;KWH;0.3507
38;FAC-001;DPT-0005;2.10.2024;Electricity;SCOPE 1;708.13;M3;0.4705
39;FAC-001;DPT-0003;6.12.2023;lpg;scope 2;617.06;Liter;0.2909
40;FAC-001;DPT-0003;15.01.2023;Natural Gas;;779.68;M3;0.5323
41;FAC-001;DPT-0005;30.08.2023;natural gas;scope 1;1541.47;M3;12.922
42;FAC-001;DPT-0003;16.09.2022;ELECTRICITY;Scope 1;NULL;M3;
43;FAC-001;DPT-0002;22.08.2022;Diesel;;1154.7;KWH;0.4636
44;FAC-001;DPT-0002;24.05.2023;diesel;;536.02;m3;0.315
45;FAC-001;DPT-0004;4.05.2022;lpg;SCOPE 1;872.71;m3;0.5263
46;FAC-001;DPT-0001;6.01.2022;DIESEL;;2363.64;M3;
47;FAC-001;DPT-0003;26.06.2023;LPG;Scope 2;954.31;liter;0.4985
48;FAC-001;DPT-0002;12.06.2022;Petrol;SCOPE 2;713.87;LT;
49;FAC-001;DPT-0004;14.06.2022;Electricity;;759.52;Liter;0.418
50;FAC-001;;2.12.2022;Petrol;Scope 1;1151.19;kwh;0.7535
51;FAC-001;DPT-0003;4.10.2024;DIESEL;scope 2;463.5;liter;0.2787
52;FAC-001;DPT-0002;31.03.2024;Electricity;;605.58;KWH;0.4034
53;FAC-001;DPT-0004;4.08.2024;Electricity;Scope 2;1640.38;Liter;
54;FAC-001;DPT-0004;13.08.2023;lpg;;1129.35;KWH;0.4203
55;FAC-001;DPT-0002;29.01.2022;Diesel;SCOPE 1;-961.18;m3;
56;FAC-001;DPT-0004;21.08.2023;lpg;SCOPE 2;1693.19;liter;10.813
57;FAC-001;DPT-0002;6.11.2024;ELECTRICITY;SCOPE 2;509.95;liter;0.1717
58;FAC-001;DPT-0003;29.09.2024;DIESEL;;697.84;Liter;0.2929
59;FAC-001;DPT-0004;5.05.2023;Diesel;Scope 2;1104.56;liter;0.4894
60;FAC-001;DPT-0004;8.11.2022;Electricity;scope 1;1078.34;Liter;0.699
61;FAC-001;DPT-0004;23.10.2022;LPG;scope 1;251.42;KWH;
62;FAC-001;DPT-0003;28.12.2024;natural gas;;647.48;kWh;-
63;FAC-001;DPT-0003;21.07.2022;DIESEL;scope 1;794.34;M3;0.5545
64;FAC-001;;26.10.2022;diesel;;1187.96;kwh;0.5061
65;FAC-001;;21.10.2022;DIESEL;SCOPE 2;1075.74;LT;0.6689
66;FAC-001;;20.11.2022;DIESEL;scope 2;848.06;M3;0.6706
67;FAC-001;DPT-0003;16.09.2024;Natural Gas;;134.81;Liter;0.0581
68;FAC-001;DPT-0003;17.01.2022;LPG;Scope 1;;LT;0.6573
69;FAC-001;DPT-0002;29.05.2023;LPG;SCOPE 1;936.08;kWh;0.4319
70;FAC-001;DPT-0005;1.11.2023;electricity;Scope 2;3676.69;kwh;12.091
71;FAC-001;DPT-0003;11.06.2023;NATURAL GAS;scope 2;775.68;KWH;0.6191
72;FAC-001;;24.03.2024;natural gas;SCOPE 1;1108.66;liter;0.4272
73;FAC-001;DPT-0004;21.06.2023;Diesel;scope 2;-1873.86;KWH;
74;FAC-001;DPT-0005;30.03.2023;LPG;;1485.12;M3;0.8715
75;FAC-001;DPT-0001;19.07.2022;diesel;scope 1;2166.73;liter;0.9374
76;FAC-001;DPT-0005;29.04.2024;DIESEL;;255.24;M3;0.1775
77;FAC-001;DPT-0004;23.01.2024;LPG;scope 2;390.74;kWh;0.153
78;FAC-001;DPT-0001;13.02.2022;natural gas;Scope 2;573.57;kwh;N/A
79;FAC-001;DPT-0005;4.11.2023;Petrol;Scope 1;215.28;M3;0.0817
80;FAC-001;DPT-0002;22.02.2022;Electricity;scope 2;941.72;m3;0.6866
81;FAC-001;;21.08.2022;DIESEL;;418.18;Liter;0.1363
82;FAC-001;DPT-0005;12.03.2024;DIESEL;Scope 1;2345.27;kWh;14.519
83;FAC-001;DPT-0004;31.05.2022;natural gas;scope 1;474.24;KWH;0.2581
84;FAC-001;DPT-0005;12-22-2024;DIESEL;;700.95;KWH;0.312
85;FAC-001;DPT-0005;13.04.2023;natural gas;;1542.4;liter;0.5846
86;FAC-001;DPT-0004;29.08.2024;ELECTRICITY;SCOPE 1;306.93;KWH;0.1237
87;FAC-001;DPT-0003;7.11.2023;Diesel;scope 2;201.2;liter;0.1175
88;FAC-001;DPT-0003;12.03.2023;LPG;;1022.62;m3;0.4714
89;FAC-001;DPT-0005;28.05.2024;Petrol;Scope 1;1077.47;M3;0.7624
90;FAC-001;DPT-0003;7.01.2023;Petrol;;-1512.74;KWH;
91;FAC-001;DPT-0001;07-18-2024;electricity;scope 2;1283.73;M3;0.7295
92;FAC-001;DPT-0005;12.04.2022;NATURAL GAS;;1105.22;liter;0.8621
93;FAC-001;DPT-0003;08-16-2022;LPG;;519.93;M3;0.2898
94;FAC-001;DPT-0005;10.09.2022;NATURAL GAS;scope 2;N/A;KWH;0.4555
95;FAC-001;DPT-0002;17.04.2023;diesel;scope 2;-1102.27;KWH;
96;FAC-001;DPT-0004;29.05.2024;Diesel;;;M3;0.4049
97;FAC-001;;12.01.2024;Diesel;SCOPE 1;2761.07;m3;20.178
98;FAC-001;DPT-0001;14.11.2023;ELECTRICITY;SCOPE 1;1244.05;m3;0.5426
99;FAC-001;DPT-0002;10.11.2022;electricity;;396.75;LT;0.134
100;FAC-001;DPT-0004;10-24-2023;electricity;;1517.64;KWH;11.826
101;FAC-001;DPT-0003;3.08.2024;Electricity;Scope 1;1687.92;Liter;
102;FAC-001;;4.11.2024;DIESEL;Scope 1;1194.88;LT;0.9119
103;FAC-001;DPT-0002;7.05.2022;ELECTRICITY;scope 2;744.52;KWH;0.3986
104;FAC-001;DPT-0002;11-22-2022;natural gas;SCOPE 2;487.02;liter;0.4113
105;FAC-001;DPT-0005;13.07.2022;LPG;;none;M3;
106;FAC-001;DPT-0005;10-17-2022;NATURAL GAS;;1138.87;kwh;0.5125
107;FAC-001;DPT-0003;19.09.2022;ELECTRICITY;;904.55;Liter;0.5754
108;FAC-001;DPT-0002;29.01.2023;electricity;scope 1;-2227.24;KWH;
109;FAC-001;DPT-0005;03-19-2022;Petrol;scope 1;1372.14;liter;10.306
110;FAC-001;DPT-0005;04-21-2024;LPG;Scope 2;443.23;LT;0.1548
111;FAC-001;DPT-0004;18.08.2024;natural gas;;361.21;LT;0.1421
112;FAC-001;DPT-0005;10.11.2022;Electricity;;1251.11;Liter;10.381
113;FAC-001;DPT-0005;13.07.2023;diesel;scope 1;757.3;liter;0.3189
114;FAC-001;DPT-0004;22.03.2024;natural gas;Scope 2;1450.55;liter;11.725
115;FAC-001;DPT-0001;18.11.2023;electricity;Scope 1;1243.56;M3;0.3848
116;FAC-001;DPT-0002;12.06.2022;NATURAL GAS;Scope 2;849.08;kwh;0.4513
117;FAC-001;DPT-0005;7.09.2022;Natural Gas;;447.5;LT;0.3203
118;FAC-001;DPT-0004;11.05.2023;NATURAL GAS;;224.49;kWh;0.0583
119;FAC-001;DPT-0004;9.01.2024;diesel;Scope 1;1043.87;liter;0.6795
120;FAC-001;;2.01.2024;natural gas;Scope 2;302.18;KWH;0.1432
121;FAC-001;DPT-0003;25.12.2022;lpg;;432.37;kwh;0.1995
122;FAC-001;;31.03.2022;Electricity;scope 2;1000.64;M3;0.5249
123;FAC-001;DPT-0005;8.09.2023;Electricity;scope 2;934.72;M3;0.2542
124;FAC-001;DPT-0004;18.01.2023;lpg;;336.03;Liter;0.2644
125;FAC-001;DPT-0001;5.01.2023;NATURAL GAS;scope 2;1810.48;KWH;0.5384
126;FAC-001;DPT-0003;06-28-2024;DIESEL;Scope 1;1780.0;Liter;12.115
127;FAC-001;DPT-0001;24.11.2022;electricity;;1277.98;kWh;0.8083
128;FAC-001;DPT-0003;11.11.2022;natural gas;scope 2;1276.94;LT;
129;FAC-001;DPT-0005;21.08.2022;lpg;scope 1;1277.99;LT;0.5606
130;FAC-001;DPT-0001;8.08.2023;Natural Gas;SCOPE 1;1678.56;kwh;0.6818
131;FAC-001;DPT-0004;10-17-2023;lpg;SCOPE 1;1394.67;M3;10.269
132;FAC-001;DPT-0002;16.02.2023;Natural Gas;;478.73;kWh;0.2658
133;FAC-001;DPT-0004;26.06.2022;NATURAL GAS;;749.49;LT;0.4354
134;FAC-001;DPT-0005;10.07.2024;LPG;scope 2;3432.55;kwh;28.608
135;FAC-001;DPT-0005;24.04.2022;diesel;scope 1;144.59;M3;0.12
136;FAC-001;DPT-0002;6.11.2022;Natural Gas;SCOPE 2;620.77;kwh;0.5056
137;FAC-001;DPT-0001;12.11.2022;LPG;scope 2;1816.67;kWh;0.638
138;FAC-001;;8.03.2023;Diesel;Scope 1;none;LT;0.3592
139;FAC-001;DPT-0003;2.09.2023;ELECTRICITY;Scope 1;1419.66;kwh;10.403
140;FAC-001;DPT-0002;10-16-2023;Diesel;scope 1;926.22;Liter;0.3114
141;FAC-001;DPT-0002;18.07.2022;NATURAL GAS;;533.01;liter;0.2188
142;FAC-001;DPT-0002;24.01.2023;DIESEL;;116.02;LT;0.094
143;FAC-001;DPT-0001;17.03.2023;natural gas;Scope 1;1023.92;kWh;0.5665
144;FAC-001;DPT-0004;10.02.2022;lpg;scope 2;470.28;liter;0.1199
145;FAC-001;DPT-0005;2.03.2024;DIESEL;SCOPE 2;822.84;KWH;0.3847
146;FAC-001;DPT-0003;23.10.2022;Petrol;;1269.65;kWh;0.5757
147;FAC-001;DPT-0003;21.11.2024;natural gas;scope 2;1592.14;kwh;0.8941
148;FAC-001;DPT-0003;30.09.2024;NATURAL GAS;;619.23;kWh;0.3433
149;FAC-001;DPT-0004;24.02.2022;DIESEL;SCOPE 2;532.21;m3;0.3875
150;FAC-001;DPT-0002;18.02.2024;LPG;Scope 2;297.4;kWh;0.203
151;FAC-001;DPT-0002;22.02.2023;diesel;;;kWh;0.7199
152;FAC-001;DPT-0005;5.10.2023;DIESEL;scope 2;3132.65;Liter;20.279
153;FAC-001;DPT-0003;4.09.2023;NATURAL GAS;SCOPE 2;1757.97;m3;0.6423
154;FAC-001;DPT-0004;07-15-2023;ELECTRICITY;;2010.12;liter;16.286
155;FAC-001;DPT-0002;11.12.2023;LPG;SCOPE 2;507.42;LT;0.2144
156;FAC-001;DPT-0003;6.05.2023;Electricity;Scope 2;1219.71;m3;0.8144
157;FAC-001;DPT-0004;20.11.2022;LPG;;1506.07;LT;
158;FAC-001;DPT-0003;3.07.2022;Natural Gas;Scope 1;8.Þub;kwh;0.0052
159;FAC-001;DPT-0001;16.08.2023;Electricity;SCOPE 2;378.11;KWH;0.1846
160;FAC-001;DPT-0004;2.10.2022;DIESEL;SCOPE 2;2449.51;m3;14.109
161;FAC-001;DPT-0004;11-22-2023;Petrol;Scope 2;247.29;kwh;
162;FAC-001;DPT-0004;15.07.2022;electricity;;2212.51;Liter;none
163;FAC-001;;11.07.2023;Petrol;Scope 1;245.71;M3;0.1273
164;FAC-001;DPT-0001;10-26-2024;lpg;SCOPE 1;394.16;M3;0.2086
165;FAC-001;DPT-0002;5.02.2024;lpg;;1234.5;m3;0.6456
166;FAC-001;DPT-0005;11.01.2024;Petrol;SCOPE 1;942.56;kWh;0.2819
167;FAC-001;DPT-0002;1.12.2024;ELECTRICITY;Scope 2;666.32;LT;0.2265
168;FAC-001;DPT-0001;29.04.2022;DIESEL;SCOPE 2;2390.5;kWh;13.338
169;FAC-001;DPT-0002;11.05.2022;Electricity;SCOPE 1;304.71;LT;0.0845
170;FAC-001;DPT-0002;5.10.2024;Diesel;;800.1;liter;0.6697
171;FAC-001;DPT-0005;15.03.2024;electricity;Scope 2;1339.85;kWh;10.266
172;FAC-001;DPT-0004;16.04.2023;DIESEL;scope 2;1093.2;kwh;0.6304
173;FAC-001;DPT-0001;2.02.2022;Natural Gas;SCOPE 1;;KWH;0.3531
174;FAC-001;DPT-0001;21.03.2023;electricity;SCOPE 2;562.4;m3;0.1555
175;FAC-001;DPT-0003;5.01.2023;electricity;Scope 2;1576.64;liter;1.125
176;FAC-001;;24.05.2024;DIESEL;Scope 1;1624.92;Liter;12.639
177;FAC-001;DPT-0005;10.02.2024;diesel;;1113.02;m3;0.5563
178;FAC-001;DPT-0002;3.05.2024;diesel;scope 1;454.89;liter;0.3634
179;FAC-001;DPT-0001;26.01.2023;NATURAL GAS;;576.55;kWh;none
180;FAC-001;DPT-0005;11-13-2023;Electricity;Scope 2;882.36;m3;0.5165
181;FAC-001;DPT-0004;23.03.2024;diesel;scope 2;975.17;M3;0.6508
182;FAC-001;DPT-0003;12.08.2024;lpg;;1304.81;Liter;0.6078
183;FAC-001;DPT-0004;5.05.2024;electricity;Scope 2;N/A;Liter;
184;FAC-001;DPT-0002;12.06.2023;lpg;;1553.64;LT;0.9986
185;FAC-001;DPT-0002;1.05.2022;Electricity;SCOPE 1;1542.4;kWh;0.8914
186;FAC-001;DPT-0002;07-22-2024;Electricity;;2053.77;LT;0.6996
187;FAC-001;DPT-0004;17.07.2023;NATURAL GAS;Scope 1;;liter;
188;FAC-001;DPT-0001;12-14-2024;natural gas;SCOPE 2;1125.85;liter;0.6357
189;FAC-001;DPT-0004;15.06.2022;ELECTRICITY;;813.33;liter;0.6866
190;FAC-001;DPT-0001;10.11.2023;ELECTRICITY;Scope 1;459.4;m3;0.1376
191;FAC-001;DPT-0005;29.07.2023;Petrol;Scope 1;3087.89;kwh;
192;FAC-001;DPT-0002;26.03.2024;NATURAL GAS;scope 1;1890.3;m3;13.258
193;FAC-001;DPT-0005;10.06.2022;lpg;scope 2;1521.91;kWh;10.705
194;FAC-001;DPT-0001;03-23-2024;Electricity;SCOPE 2;887.99;LT;0.6317
195;FAC-001;DPT-0004;25.06.2022;NATURAL GAS;Scope 2;426.99;KWH;0.2809
196;FAC-001;DPT-0002;1.11.2022;DIESEL;scope 2;1699.69;M3;0.7479
197;FAC-001;DPT-0004;23.02.2022;natural gas;SCOPE 1;802.98;Liter;0.468
198;FAC-001;;13.05.2023;diesel;scope 1;1195.0;liter;0.8574
199;FAC-001;DPT-0003;5.12.2024;DIESEL;SCOPE 1;574.82;Liter;0.1655
200;FAC-001;DPT-0004;16.09.2023;Diesel;scope 2;1066.44;liter;0.3917
201;FAC-001;DPT-0003;10.06.2022;natural gas;Scope 2;602.97;LT;0.4487
202;FAC-001;DPT-0003;5.12.2023;Diesel;SCOPE 2;621.23;liter;0.4143
203;FAC-001;DPT-0002;25.02.2022;lpg;Scope 2;1056.96;LT;0.6103
204;FAC-001;DPT-0001;19.10.2024;LPG;SCOPE 2;242.34;m3;0.1763
205;FAC-001;DPT-0004;8.09.2024;Diesel;;253.65;kWh;0.0747
206;FAC-001;DPT-0005;05-24-2023;electricity;Scope 1;502.6;liter;0.4014
207;FAC-001;DPT-0004;28.11.2024;Petrol;Scope 2;763.18;LT;0.2359
208;FAC-001;DPT-0005;15.09.2024;NATURAL GAS;;1584.36;KWH;0.5394
209;FAC-001;DPT-0002;3.12.2024;natural gas;;795.15;KWH;0.3625
210;FAC-001;DPT-0003;02-16-2022;LPG;SCOPE 1;883.91;kwh;0.2447
211;FAC-001;DPT-0005;4.08.2024;Diesel;scope 1;719.72;kwh;0.2491
212;FAC-001;DPT-0001;29.05.2024;Electricity;Scope 2;1124.74;m3;0.8771
213;FAC-001;DPT-0001;01-20-2024;Natural Gas;;455.62;KWH;0.3325
214;FAC-001;DPT-0005;14.03.2024;ELECTRICITY;scope 2;826.55;Liter;0.3621
215;FAC-001;DPT-0003;4.10.2023;Natural Gas;SCOPE 2;1186.11;KWH;0.7165
216;FAC-001;DPT-0005;16.05.2024;DIESEL;scope 1;1051.14;kwh;0.6389
217;FAC-001;DPT-0003;20.01.2022;electricity;Scope 2;904.28;liter;0.5621
218;FAC-001;DPT-0004;28.06.2024;electricity;SCOPE 1;912.17;kWh;0.4972
219;FAC-001;DPT-0001;25.07.2024;lpg;;1263.88;KWH;0.7237
220;FAC-001;DPT-0005;27.03.2022;diesel;Scope 2;3179.75;liter;14.949
221;FAC-001;DPT-0002;15.12.2023;DIESEL;SCOPE 1;481.1;m3;0.4087
222;FAC-001;DPT-0003;13.10.2022;Natural Gas;Scope 1;3235.96;Liter;19.939
223;FAC-001;DPT-0002;2.07.2023;LPG;SCOPE 1;463.58;kwh;0.3117
224;FAC-001;DPT-0001;29.09.2022;electricity;scope 2;100.22;m3;0.0772
225;FAC-001;DPT-0004;8.02.2024;ELECTRICITY;SCOPE 1;593.54;liter;0.3736
226;FAC-001;DPT-0003;10.07.2022;LPG;scope 2;1139.33;KWH;0.6185
227;FAC-001;DPT-0004;8.04.2023;diesel;scope 1;2775.54;LT;15.177
228;FAC-001;DPT-0001;12.09.2022;DIESEL;;none;kWh;0.3072
229;FAC-001;DPT-0002;16.07.2023;LPG;scope 2;1258.87;M3;0.5427
230;FAC-001;DPT-0002;25.04.2023;LPG;SCOPE 1;none;KWH;0.1209
231;FAC-001;DPT-0002;30.06.2024;Electricity;scope 2;-2713.69;KWH;
232;FAC-001;DPT-0002;07-31-2022;natural gas;SCOPE 2;1913.4;kwh;NULL
233;FAC-001;DPT-0002;18.01.2022;LPG;scope 1;622.19;LT;
234;FAC-001;DPT-0002;21.03.2023;ELECTRICITY;scope 1;2109.44;KWH;13.071
235;FAC-001;DPT-0004;22.06.2022;diesel;SCOPE 2;822.96;kWh;0.2748
236;FAC-001;DPT-0003;03-13-2024;LPG;Scope 1;1977.59;m3;12.145
237;FAC-001;DPT-0004;01-25-2022;natural gas;scope 1;899.44;liter;0.2632
238;FAC-001;DPT-0003;30.05.2022;Petrol;SCOPE 1;927.16;kWh;0.3279
239;FAC-001;;23.10.2024;Diesel;;632.07;KWH;0.4573
240;FAC-001;DPT-0002;21.02.2023;diesel;scope 2;1369.68;liter;0.5971
241;FAC-001;DPT-0001;4.05.2023;Natural Gas;SCOPE 1;977.23;liter;0.5008
242;FAC-001;DPT-0001;2.09.2022;lpg;scope 1;1277.49;kWh;0.8879
243;FAC-001;DPT-0005;1.02.2024;lpg;SCOPE 2;219.5;KWH;0.1632
244;FAC-001;;7.06.2022;DIESEL;scope 2;2022.24;kWh;
245;FAC-001;DPT-0003;25.08.2022;lpg;Scope 1;2346.79;kWh;16.756
246;FAC-001;;14.03.2022;lpg;;-;m3;0.4673
247;FAC-001;DPT-0003;25.10.2024;electricity;Scope 2;3040.79;kWh;0.9023
248;FAC-001;;2.11.2023;diesel;;2610.53;kWh;10.948
249;FAC-001;DPT-0003;7.10.2024;lpg;Scope 2;1389.38;kwh;0.5496
250;FAC-001;DPT-0002;01-20-2022;Electricity;;-2126.62;M3;
251;FAC-001;DPT-0002;10-19-2022;ELECTRICITY;Scope 1;1784.79;m3;14.755
252;FAC-001;DPT-0003;1.11.2024;LPG;;166.73;KWH;0.1165
253;FAC-001;;8.10.2023;lpg;scope 2;730.68;Liter;0.24
254;FAC-001;DPT-0002;5.08.2022;DIESEL;;1453.75;Liter;10.352
255;FAC-001;DPT-0002;5.07.2022;LPG;SCOPE 2;2444.64;kWh;12.908
256;FAC-001;DPT-0002;17.11.2024;LPG;SCOPE 2;261.47;M3;0.1043
257;FAC-001;DPT-0004;13.07.2022;ELECTRICITY;scope 1;178.85;KWH;0.1044
258;FAC-001;DPT-0002;2.02.2024;Petrol;SCOPE 2;-860.06;KWH;
259;FAC-001;;21.09.2022;natural gas;SCOPE 1;-109.07;kWh;
260;FAC-001;;13.10.2024;Diesel;;838.82;kwh;0.4277
261;FAC-001;DPT-0003;05-19-2023;DIESEL;;1158.56;LT;
262;FAC-001;DPT-0002;26.05.2023;Electricity;;410.16;Liter;0.2607
263;FAC-001;DPT-0003;4.01.2023;natural gas;Scope 2;855.52;kWh;0.4718
264;FAC-001;DPT-0001;22.04.2023;ELECTRICITY;Scope 2;1679.69;m3;0.8953
265;FAC-001;DPT-0001;3.06.2024;electricity;scope 1;591.3;m3;0.4841
266;FAC-001;DPT-0003;19.10.2022;Natural Gas;;470.13;M3;0.1255
267;FAC-001;;1.02.2022;Petrol;Scope 2;unknown;kwh;0.3156
268;FAC-001;DPT-0003;16.08.2022;natural gas;SCOPE 1;N/A;Liter;0.2252
269;FAC-001;DPT-0005;19.11.2022;LPG;;2900.78;Liter;12.504
270;FAC-001;DPT-0005;26.12.2022;NATURAL GAS;SCOPE 2;919.33;kwh;0.353
271;FAC-001;;8.03.2022;Petrol;scope 2;511.0;m3;0.3034
272;FAC-001;DPT-0004;17.10.2023;LPG;SCOPE 1;1043.78;Liter;0.7277
273;FAC-001;DPT-0002;3.01.2022;Diesel;;824.34;liter;0.3794
274;FAC-001;DPT-0004;8.09.2024;LPG;Scope 2;758.76;kwh;0.3496
275;FAC-001;DPT-0001;6.01.2022;electricity;;591.18;kwh;0.2608
276;FAC-001;DPT-0001;5.03.2022;LPG;scope 1;568.94;liter;0.4786
277;FAC-001;DPT-0002;06-28-2023;NATURAL GAS;Scope 2;224.4;KWH;0.1112
278;FAC-001;DPT-0004;27.08.2023;DIESEL;Scope 2;2124.57;KWH;0.9911
279;FAC-001;DPT-0003;08-25-2022;Diesel;;-1329.79;LT;
280;FAC-001;DPT-0005;18.01.2023;Electricity;SCOPE 2;1116.01;LT;0.5274
281;FAC-001;DPT-0003;18.07.2022;LPG;scope 2;814.7;liter;0.2776
282;FAC-001;DPT-0005;30.08.2024;Natural Gas;;404.09;M3;0.1949
283;FAC-001;DPT-0001;29.10.2022;DIESEL;scope 1;485.88;kwh;0.384
284;FAC-001;DPT-0002;30.10.2022;NATURAL GAS;scope 2;NULL;KWH;0.2103
285;FAC-001;DPT-0005;26.01.2022;Petrol;;535.35;KWH;0.2226
286;FAC-001;DPT-0005;5.08.2022;ELECTRICITY;SCOPE 2;357.41;Liter;0.2963
287;FAC-001;DPT-0004;5.04.2024;Petrol;;2520.36;kWh;13.454
288;FAC-001;DPT-0002;2.11.2022;NATURAL GAS;SCOPE 2;#N/A;M3;Oca.29
289;FAC-001;DPT-0001;06-26-2024;NATURAL GAS;;947.7;KWH;0.3665
290;FAC-001;DPT-0004;26.04.2022;electricity;SCOPE 1;441.54;M3;0.3116
291;FAC-001;DPT-0005;16.02.2023;Natural Gas;Scope 1;373.39;LT;0.0998
292;FAC-001;DPT-0002;11.09.2022;Natural Gas;scope 2;776.88;LT;0.5781
293;FAC-001;DPT-0004;14.06.2023;NATURAL GAS;Scope 1;1650.98;liter;0.7592
294;FAC-001;DPT-0002;6.07.2023;diesel;Scope 1;256.18;kWh;0.1636
295;FAC-001;DPT-0002;09-18-2023;Diesel;;1318.23;Liter;0.3363
296;FAC-001;DPT-0003;29.07.2022;diesel;scope 2;533.46;M3;0.3972
297;FAC-001;DPT-0001;07-22-2023;LPG;SCOPE 2;613.0;m3;0.2549
298;FAC-001;DPT-0001;17.10.2023;lpg;Scope 1;928.2;LT;0.6789
299;FAC-001;DPT-0004;01-24-2023;lpg;Scope 2;454.07;LT;0.3142
300;FAC-001;DPT-0005;1.06.2023;ELECTRICITY;;748.25;kwh;0.2634
301;FAC-001;DPT-0005;19.11.2023;Natural Gas;scope 2;422.88;m3;0.1522
302;FAC-001;DPT-0003;30.08.2022;Electricity;SCOPE 1;568.48;LT;0.3419
303;FAC-001;DPT-0004;5.11.2022;Natural Gas;scope 2;1488.3;liter;0.741
304;FAC-001;DPT-0004;15.06.2022;natural gas;scope 1;962.73;Liter;0.7388
305;FAC-001;;21.11.2022;ELECTRICITY;scope 1;1484.62;liter;10.492
306;FAC-001;DPT-0004;4.02.2024;natural gas;Scope 2;527.91;kWh;0.1439
307;FAC-001;DPT-0002;30.07.2022;diesel;SCOPE 2;1324.71;kwh;10.282
308;FAC-001;;12.09.2024;Diesel;scope 1;196.38;Liter;0.1028
309;FAC-001;DPT-0002;9.02.2022;Natural Gas;scope 1;927.91;m3;0.7369
310;FAC-001;DPT-0002;2.08.2024;diesel;Scope 1;1383.43;kWh;0.9361
311;FAC-001;DPT-0001;2.06.2023;lpg;scope 1;NULL;m3;0.0942
312;FAC-001;DPT-0003;8.10.2022;ELECTRICITY;SCOPE 1;532.9;M3;0.1655
313;FAC-001;DPT-0002;02-18-2023;lpg;;927.45;M3;0.6648
314;FAC-001;DPT-0002;27.01.2022;ELECTRICITY;;1731.21;kwh;0.9321
315;FAC-001;DPT-0001;19.04.2023;NATURAL GAS;SCOPE 2;568.42;LT;0.1767
